experiment,"samples=100,val_ratio=10%_accuracy","samples=100,val_ratio=10%_val_loss_mean","samples=100,val_ratio=10%_val_loss_final","samples=100,val_ratio=20%_accuracy","samples=100,val_ratio=20%_val_loss_mean","samples=100,val_ratio=20%_val_loss_final","samples=100,val_ratio=30%_accuracy","samples=100,val_ratio=30%_val_loss_mean","samples=100,val_ratio=30%_val_loss_final","samples=500,val_ratio=10%_accuracy","samples=500,val_ratio=10%_val_loss_mean","samples=500,val_ratio=10%_val_loss_final","samples=500,val_ratio=20%_accuracy","samples=500,val_ratio=20%_val_loss_mean","samples=500,val_ratio=20%_val_loss_final","samples=500,val_ratio=30%_accuracy","samples=500,val_ratio=30%_val_loss_mean","samples=500,val_ratio=30%_val_loss_final","samples=1000,val_ratio=10%_accuracy","samples=1000,val_ratio=10%_val_loss_mean","samples=1000,val_ratio=10%_val_loss_final","samples=1000,val_ratio=20%_accuracy","samples=1000,val_ratio=20%_val_loss_mean","samples=1000,val_ratio=20%_val_loss_final","samples=1000,val_ratio=30%_accuracy","samples=1000,val_ratio=30%_val_loss_mean","samples=1000,val_ratio=30%_val_loss_final",best_dataset_by_min_val_loss
"lr_decay=0.01,batch_size=16,layers=[100,50,25,3]",1.0,0.03513739245360023,0.0009420071787620247,1.0,0.03819943813030641,0.0006773704700193648,1.0,0.0761349015042594,0.03409823991412552,1.0,0.019845943348342564,0.0013742122277179455,1.0,0.0207709857769183,0.0003232382973114025,1.0,0.0191100449556007,0.0006836398272182584,1.0,0.014588036832145228,5.4646783736469276e-05,1.0,0.018524634592288668,0.0001445535485454524,1.0,0.018792159744121364,0.0003035658721756385,"samples=1000,val_ratio=10%"
"lr_decay=0.01,batch_size=8,layers=[100,50,25,3]",1.0,0.0385146833506156,0.0014608249818802118,1.0,0.0280164013035636,0.00015964176309737297,1.0,0.029175852576932948,0.00023939697824970236,1.0,0.016765835774820294,0.001366379081509855,1.0,0.017369515392568483,0.00027228096410872207,1.0,0.015339669922472994,0.0006661129616060002,1.0,0.013347654701015345,4.8826567255746597e-05,1.0,0.014354734674066432,0.00010031362013708948,1.0,0.01929477965375481,0.00030991747723618665,"samples=1000,val_ratio=10%"
"lr_decay=0.02,batch_size=16,layers=[100,50,25,3]",1.0,0.08221174783077415,0.05087455988481901,1.0,0.03473659404604623,0.0006246697899969587,1.0,0.034902789326995455,0.0007461293954205989,1.0,0.01989582810081699,0.0013492224467631226,1.0,0.020808281535404736,0.0003320032749835037,1.0,0.018351132932996127,0.0006821649237696785,1.0,0.018442079179287,9.521387460164439e-05,1.0,0.01608709253363619,0.00011685857142367179,1.0,0.020797513490587574,0.00035617110362291403,"samples=1000,val_ratio=20%"
"lr_decay=0.02,batch_size=8,layers=[100,50,25,3]",1.0,0.03427430035336667,0.0008627014408519742,1.0,0.027475557742289575,0.00018039135152721908,1.0,0.03177526006249813,0.0003956026355637601,1.0,0.017125115726258636,0.0014040770477027767,1.0,0.017527430552911023,0.0002768953760514313,1.0,0.015170092633786814,0.0006680840379302054,1.0,0.013739303549275066,5.159496381303104e-05,1.0,0.013538964343036029,9.243057761106737e-05,1.0,0.017435640728341174,0.0002853158192698039,"samples=1000,val_ratio=20%"
"lr_decay=0.05,batch_size=16,layers=[100,50,25,3]",1.0,0.034523467841886875,0.0026437188074679013,1.0,0.03953405914894766,0.003437508098657388,1.0,0.03347475565832694,0.0016634801764301088,1.0,0.019643049072061165,0.0014536079753498148,1.0,0.020313040326486825,0.0003547914496691952,1.0,0.01853016936078656,0.000701919291260061,1.0,0.01279584542520607,4.726791268420308e-05,1.0,0.017759517407519538,0.00014808499627980796,1.0,0.018226497640553403,0.00031427140514100074,"samples=1000,val_ratio=10%"
"lr_decay=0.05,batch_size=8,layers=[100,50,25,3]",1.0,0.03652087708693177,0.0016539458048671191,1.0,0.02879555453056985,0.0004080978093752681,1.0,0.030220432981955137,0.00055321323055327,1.0,0.016418849286183312,0.001349235996445433,1.0,0.01708087495876055,0.0002804934324214831,1.0,0.015464316871108014,0.0006683657665433988,1.0,0.01269356991009643,4.557237635461745e-05,1.0,0.013286818150082882,9.343679507230395e-05,1.0,0.017211494088269774,0.00028320567732017675,"samples=1000,val_ratio=10%"
"lr_decay=0.01,batch_size=16,layers=[100,50,20,3]",1.0,0.04236964064069015,0.002478596357289676,1.0,0.02906730772983248,0.00032084196345882795,1.0,0.07579330693977608,0.0448255716016061,1.0,0.02652943453327756,0.0010055727179774953,1.0,0.024869948957926543,0.0015410313400250752,1.0,0.029598819687171745,0.0011470987008153496,1.0,0.015898011203818115,4.810298916445147e-05,1.0,0.015756234695813286,0.00016085333205688392,1.0,0.017159211332598054,0.0002707282147796868,"samples=1000,val_ratio=20%"
"lr_decay=0.01,batch_size=8,layers=[100,50,20,3]",1.0,0.03639533206938708,0.0009347457446324911,1.0,0.024955506916785223,0.00015393682270565612,1.0,0.029883483436753462,0.00017537048301669426,1.0,0.014812973341389004,0.0006228298753664498,1.0,0.023137162682642615,0.0014699346701816962,1.0,0.019471290406856818,0.000950104369122677,1.0,0.01637870989718266,5.660026638759875e-05,1.0,0.010177879923693726,9.734023762677485e-05,1.0,0.011649895361426363,0.00019619738209256238,"samples=1000,val_ratio=20%"
"lr_decay=0.02,batch_size=16,layers=[100,50,20,3]",1.0,0.036194011891165084,0.0012955646274685412,1.0,0.07787084629340406,0.04504254105172637,1.0,0.07160146609859074,0.04103977489969447,1.0,0.03526472948798898,0.0016135484991288797,1.0,0.026366761207464215,0.00163152972273376,1.0,0.02792134373418552,0.0011059117342437387,1.0,0.017265536462304998,6.210055356656877e-05,1.0,0.01296484095200476,0.00012542576483872344,1.0,0.01787122771232578,0.0002865307466887261,"samples=1000,val_ratio=20%"
"lr_decay=0.02,batch_size=8,layers=[100,50,20,3]",1.0,0.028979487723046655,0.0003688757276967305,1.0,0.023361748723308196,0.00014905780725662206,1.0,0.03689517146923615,0.0005835651855320661,1.0,0.020267846358642826,0.0007675648817089796,1.0,0.01800249951988644,0.001335746142066324,1.0,0.019615973153219453,0.0009688870192475122,1.0,0.015076208195720503,4.553780390087717e-05,1.0,0.011497265150478806,0.00011328914482614224,1.0,0.011569363583862161,0.00019710951415902097,"samples=1000,val_ratio=20%"
